survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date
la-petite-plage2020-06-1584,2020-06-15,84,697.00,70.000,0.093,0.165,0.0,1,0,150,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-06-15')"
la-petite-plage2020-07-17100,2020-07-17,100,300.00,40.000,0.200,0.045,0.0,1,0,120,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-07-17')"
la-petite-plage2020-08-1791,2020-08-17,91,855.00,160.000,0.252,0.200,0.0,1,0,135,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-08-17')"
la-petite-plage2020-09-1595,2020-09-15,95,883.00,85.000,0.069,0.430,0.0,1,0,135,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-09-15')"
la-petite-plage2020-10-19101,2020-10-19,101,404.00,40.000,0.103,0.080,0.0,2,0,140,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-10-19')"
la-petite-plage2020-11-15101,2020-11-15,101,434.00,195.000,0.000,0.200,0.0,1,0,130,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-11-15')"
la-petite-plage2020-12-1497,2020-12-14,97,487.00,1.000,0.000,0.001,0.0,1,0,55,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2020-12-14')"
la-petite-plage2021-01-16100,2021-01-16,100,400.00,170.000,0.076,0.740,0.0,1,0,115,"[""HD""]",2020,True,la-petite-plage,"('la-petite-plage', '2021-01-16')"
la-thiele_le-mujon_confluence2020-10-1919,2020-10-19,19,13.00,1.000,0.000,0.001,0.0,1,0,65,"[""HD""]",2020,True,la-thiele_le-mujon_confluence,"('la-thiele_le-mujon_confluence', '2020-10-19')"
lacleman_gland_lecoanets2020-06-1551,2020-06-15,51,306.00,40.000,0.000,0.045,0.0,1,0,100,"[""HD""]",2020,True,lacleman_gland_lecoanets,"('lacleman_gland_lecoanets', '2020-06-15')"
lacleman_gland_lecoanets2020-11-2741,2020-11-27,41,205.00,90.000,0.000,0.090,0.0,1,0,70,"[""HD""]",2020,True,lacleman_gland_lecoanets,"('lacleman_gland_lecoanets', '2020-11-27')"
lavey-la-source2021-01-0520,2021-01-05,20,200.00,700.000,0.000,1.200,0.0,1,0,90,"[""HD""]",2020,True,lavey-la-source,"('lavey-la-source', '2021-01-05')"
lavey-les-bains2021-01-0570,2021-01-05,70,420.00,2600.000,0.000,3.500,0.0,1,0,165,"[""PRCS""]",2020,True,lavey-les-bains,"('lavey-les-bains', '2021-01-05')"
le-pierrier2020-11-1757,2020-11-17,57,200.00,160.000,0.087,0.240,0.0,1,0,120,"[""HD""]",2020,True,le-pierrier,"('le-pierrier', '2020-11-17')"
les-glariers2020-12-0129,2020-12-01,29,116.00,80.000,0.000,0.140,0.0,1,0,60,"[""HD""]",2020,True,les-glariers,"('les-glariers', '2020-12-01')"
les-vieux-ronquoz2020-10-1552,2020-10-15,52,156.00,130.000,0.000,0.130,0.0,1,0,90,"[""HD""]",2020,True,les-vieux-ronquoz,"('les-vieux-ronquoz', '2020-10-15')"
ligerz-strand2020-07-297,2020-07-29,7,7.00,94.000,0.000,0.095,0.0,1,0,60,"[""HD""]",2020,True,ligerz-strand,"('ligerz-strand', '2020-07-29')"
ligerz-strand2020-09-098,2020-09-09,8,42.00,200.000,0.000,0.200,0.0,1,0,100,"[""HD""]",2020,True,ligerz-strand,"('ligerz-strand', '2020-09-09')"
