UUID,slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,area
{0B673120-D725-4669-A279-5D961C108D5B},limmat_unterengstringen_oggierbuhrer,Limmat_Unterengstringen_OggierBührer,47.409400300000001,8.446933400000001,8103,CH,r,Limmat,unterengstringen,limmat,True,Unterengstringen,249,3881,745077.39
{4BF6AA06-8796-4944-9C4A-4B5911D394AA},rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217,197758.52
{7D1F40D3-8FC7-41B6-BF59-58490B212567},bern-tiergarten,Bern Tiergarten,46.933157399999999,7.452004100000000,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,875027.45
{47828616-35A0-44CF-9AD8-67442A7EAF73},schusspark-strand,Schüsspark strand,47.146500000000003,7.268620000000000,2504,CH,r,Schüss,biel,schuss,True,Biel/Bienne,371,55159,1041546.23
{7936E134-0A06-4C3D-A4DB-1EF8FAA51F43},rhein-beach-tinguely,Rhein Beach Tinguely,47.558643900000000,7.612153600000000,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,1475167.40
{15A7550E-1979-4A41-BB63-F115FBFB9A34},limmat_zurich_mortensena_meiera,limmat_zürich_mortensena_meiera,47.400251500000003,8.485410999999999,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,1036652.98
{C45ADD63-0458-4936-8A96-2FDC659BA8F6},bielersee_vinelz_fankhausers,Bielersee_Vinelz_FankhauserS,47.038398399999998,7.108311400000000,3234,CH,l,Bielersee,vinelz,bielersee,True,Vinelz,502,867,166343.73
{612D6220-9C71-4529-A705-B95E32AA3D2E},pointe-dareuse,Pointe d'Areuse,46.946190000000001,6.870970000000000,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,129672.66
{101931EA-C37E-442D-9CC1-625B1B5175FD},bagno-pubblico-ascona,Bagno Pubblico Ascona,46.147565000000000,8.779144000000001,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,361287.92
{414EF410-24AA-4DB4-80A9-9D3A364587A5},sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.128618099999997,8.191873700000000,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169,261840.24
{D9A6CD35-F486-457E-BD07-36AA46C0C15F},aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196948999999996,7.521643000000000,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777,329365.95
{F3BA78BB-F982-4D3C-B9EE-21166795734A},les-vieux-ronquoz,Les Vieux Ronquoz,46.222048700000002,7.361664000000000,1950,CH,r,Rhône,sion,rhone,True,Sion,6266,34708,816500.07
{7C622326-246A-4108-BB87-9ECC28DF6D52},vira-spiaggia-left-of-river,Vira spiaggia left of river,46.142899999999997,8.838407000000000,6573,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,122855.00
{4DB7C963-DC28-4BF2-AA34-A5A8C3C221F2},sihl_menzingen_kucharska_magdalena,Sihl_Menzingen_Kucharska_Magdalena,47.191501199999998,8.618421400000001,6313,CH,r,Sihl,menzingen,sihl,False,Menzingen,1704,4539,53526.02
{42A2B5FF-FA74-4ECE-A52A-D70DB47404A8},pierrier-sud,Pierrier sud,46.439560100000001,6.891000100000000,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,382616.97
{C45ADD63-0458-4936-8A96-2FDC659BA8F6},erlach-camping-strand,Erlach camping strand,47.047159000000001,7.097854000000000,3235,CH,l,Bielersee,erlach,bielersee,True,Erlach,492,1385,104996.77
{86C4F4A1-5D5C-4F78-A731-66B333F89F8B},spackmatt,Späckmatt,47.223748999999998,7.576711000000000,4542,CH,r,Aare,luterbach,aare,True,Luterbach,2527,3480,382914.95
{5EBDCDA8-991F-4663-B0FA-53B5C01FE2DD},route-13,Route 13,46.162520999999998,8.782579100000000,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826,1029224.61
{F0541D66-2B49-400D-8912-247772B5FD28},zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee_Küsnachterhorn_Thirkell WhiteJ,47.317684900000003,8.576860200000000,8700,CH,l,Zurichsee,kusnacht,zurichsee,True,Küsnacht (ZH),154,14397,440504.76
{42A2B5FF-FA74-4ECE-A52A-D70DB47404A8},anarchy-beach,Anarchy Beach,46.447215999999997,6.859612000000000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,322928.37
{7D1F40D3-8FC7-41B6-BF59-58490B212567},aare_koniz_hoppej,aare_köniz_hoppej,46.934588499999997,7.458170300000000,3084,CH,r,Aare,koniz,aare,True,Köniz,355,41784,895314.57
