slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects
hafeli,Häfeli,46.6902834,7.8985922,3806,CH,l,Brienzersee,bonigen,brienzersee,True,Bönigen,572,2536,302091,153155,5
impromptu_cudrefin,Impromptu_Cudrefin,46.964496,7.027936,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633,661366,87159,6
inn_pradella_kohlt,Inn_Pradella_KohlT,46.800876,10.319994,7550,CH,r,Inn,scuol,inn,False,Scuol,3762,4591,396521,131821,0
jardin-botanique,Jardin Botanique,46.2259088,6.1493572,1202,CH,l,Lac Léman,geneve,lac-leman,False,Genève,6621,201818,894696,42320,0
jona-river-rastplatz,Jona river Rastplatz,47.2161,8.84443,8654,CH,r,Jona,jona-city,jona,True,Rapperswil-Jona,3340,26999,1275454,61551,4
jona_tann_nusslin,jona_tann_nusslin,47.2684272,8.8641251,8635,CH,r,Jona,durnten,jona,False,Dürnten,113,7637,437986,52599,0
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.4284728,8.513088,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,1036400,74097,0
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.4311281,8.4929243,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,165738,88234,0
kusnachter-dorfbach-tobelweg-1-4,Küsnachter Dorfbach Tobelweg 1-4,47.31777,8.588258,8700,CH,r,Dorfbach,kusnacht,dorfbach,True,Küsnacht (ZH),154,14397,1301147,67063,3
la-morges,La Morges,46.504063,6.494099,1110,CH,l,Lac Léman,morges,lac-leman,False,Morges,5642,15708,77688,62569,1
la-pecherie,La Pêcherie,46.4639187,6.3857321,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851,442,413064,120229,3
la-petite-plage,La Petite plage,46.785054,6.656877,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,337244,130217,7
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534,6.6309,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157,2061509,40419,0
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.4503892,6.8582342,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,515401,176988,2
lacleman_gland_kubela,lacléman_gland_kubela,46.4028693,6.2819358,1196,CH,l,Lac Léman,gland,lac-leman,False,Gland,5721,13109,458923,50825,0
