slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,NUMPOINTS,length
plage-de-dorigny,Plage de Dorigny,46.518169000000000,6.583319000000000,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,1,105301.030
clean-up-event-test,Clean up event test,46.457878999999998,6.847148000000000,1800,CH,r,Clean up tour vevey,vevey,clean-up-tour-vevey,True,Vevey,5890,19891,2,91624.744
toss_winterthur-2,Töss_Winterthur 2,47.478707300000003,8.708426400000000,8406,CH,r,Töss,winterthur,ti12ss,False,Winterthur,230,111851,0,108942.714
bodensee_altenrhein_caluoria,bodensee_altenrhein_caluoria,47.486506900000002,9.543966400000000,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,4,54763.082
zurichsee_wollishofen_langendorfm,zürichsee_wollishofen_langendorfm,47.345889900000003,8.536154500000000,8038,CH,l,Zurichsee,zurich,zurichsee,True,Zürich,261,415367,2,94585.978
vorderrhein_disentis_schmidn,vorderrhein_disentis_schmidn,46.698273899999997,8.857837300000000,7180,CH,r,Vorderrhein,disentis-muster,vorderrhein,False,Disentis/Mustér,3982,2080,0,64289.034
cudrefin-alternate,Cudrefin alternate,46.963970000000003,7.027448000000000,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633,2,37197.556
zuerichsee_staefa_hennm,zuerichsee_staefa_hennm,47.234643100000000,8.769881399999999,8713,CH,l,Zurichsee,stafa,zurichsee,True,Stäfa,158,14497,3,51388.658
route-13,Route 13,46.162520999999998,8.782579100000000,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826,1,131821.457
linthdammweg,Linthdammweg,47.131790000000002,9.091910000000000,8872,CH,r,Linthkanal,weesen,linthkanal,True,Weesen,3316,1724,3,72715.126
sihl_leimbach_kruegerm,sihl_leimbach_kruegerm,47.325436099999997,8.519119500000000,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,0,115552.875
emme_biberist_jennim,emme_biberist_jennim,47.169220799999998,7.558994800000000,4562,CH,r,Emme,biberist,emme,False,Biberist,2513,8568,0,102898.219
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.360938099999998,8.653722800000001,8117,CH,l,Greifensee,fallanden,greifensee,False,Fällanden,193,8672,0,59549.680
isole-di-brissago-porto,Isole di Brissago porto,46.132759999999998,8.735030000000000,6614,CH,l,Lago Maggiore,brissago,lago-maggiore,True,Brissago,5097,1737,11,13177.828
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.493609999999997,8.961592800000000,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720,0,77451.483
weissenau-neuhaus,Weissenau-Neuhaus,46.676583000000001,7.817528000000000,3800,CH,l,Thunersee,unterseen,thunersee,True,Unterseen,593,5751,11,46161.142
grand-clos,Grand Clos,46.387746000000000,6.843686000000000,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True,Saint-Gingolph,6155,982,5,39727.001
limmat_zuerich_jansena,Limmat_Zuerich_JansenA,47.400024700000003,8.484684700000001,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,0,152965.572
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196948999999996,7.521643000000000,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601,16777,0,86254.848
la-morges,La Morges,46.504063000000002,6.494099000000000,1110,CH,l,Lac Léman,morges,lac-leman,False,Morges,5642,15708,1,72218.063
arve_carouge_battistellak,arve_carouge_battistellak,46.178491200000003,6.154318700000000,1234,CH,r,Arve,veyrier,arve,False,Veyrier,6645,11612,0,140169.978
zulg_steffisburg_schmassmanne,zulg_steffisburg_schmassmanne,46.774243100000000,7.624537200000000,3612,CH,r,Zulg,steffisburg,zulg,False,Steffisburg,939,15709,0,130100.994
linth_mollis,Linth_Mollis,47.131369999999997,9.094768000000000,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,Glarus Nord,1630,18483,4,72385.096
thunersee_spiez_meierd_1,thunersee_spiez_meierd_1,46.704436800000003,7.657882400000000,3646,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,0,45839.319
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.962708900000003,7.025968100000000,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,Cudrefin,5456,1633,2,38222.789
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.373149499999997,8.532369800000000,8001,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,2,176897.636
thun-strandbad,Thun Strandbad,46.739939000000000,7.633520000000000,3504,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734,3,97174.337
jona_tann_nusslin,jona_tann_nusslin,47.268427199999998,8.864125100000001,8635,CH,r,Jona,durnten,jona,False,Dürnten,113,7637,0,95911.133
pfafikon-bad,Pfäfikon bad,47.206766000000002,8.774182000000000,8808,CH,l,Zurichsee,freienbach,zurichsee,True,Freienbach,1322,16391,4,62569.258
baye-de-clarens,Baye de Clarens,46.439787000000003,6.888903000000000,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,4,62844.621
aare_kehrsatz_stolten,aare_kehrsatz_stolten,46.923571899999999,7.488301100000000,3123,CH,r,Aare,belp,aare,False,Belp,861,11510,0,100503.210
schiffenensee_duedingen_hirschij,schiffenensee_duedingen_hirschij,46.859151400000002,7.176437400000000,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,Düdingen,2293,7964,0,48557.297
cully-plage,Cully plage,46.488886600000001,6.741396100000000,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,Bourg-en-Lavaux,5613,5369,8,62762.416
untertenzen,Untertenzen,47.115259999999999,9.254780000000000,8882,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,5,49472.738
augustmutzenbergstrandweg,AugustMützenbergStrandweg,46.686639999999997,7.689760000000000,3700,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,0,78705.588
pecos-plage,Pécos Plage,46.803590000000000,6.636650000000000,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357,4,59789.612
strandboden-biel,Strandboden-Biel,47.132510000000003,7.233142000000000,2503,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,1,124399.969
jardin-botanique,Jardin Botanique,46.225908799999999,6.149357200000000,1202,CH,l,Lac Léman,geneve,lac-leman,False,Genève,6621,201818,0,98732.619
lorze_baar_blarere,Lorze_Baar_BlarerE,47.195401900000000,8.540236999999999,6340,CH,r,Lorze,baar,lorze,False,Baar,1701,24468,0,97502.674
ognonnaz-1,Ognonnaz 1,46.459941299999997,6.859134100000000,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891,1,121389.353
zurcher-strand,Zürcher Strand,47.364199999999997,8.537419999999999,8002,CH,l,Zurichsee,zurich,zurichsee,True,Zürich,261,415367,3,156576.913
beich,Beich,47.048495000000003,7.200528000000000,3272,CH,r,Aare,walperswil,aare,True,Walperswil,754,1043,0,67062.896
lacleman_gland_kubela,lacléman_gland_kubela,46.402869299999999,6.281935800000000,1196,CH,l,Lac Léman,gland,lac-leman,False,Gland,5721,13109,0,42931.486
aare_suhrespitz_badert,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,5032,CH,r,Aare,aarau,aare,True,Aarau,4001,21506,0,132795.405
la-pecherie,La Pêcherie,46.463918700000001,6.385732100000000,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851,442,2,41407.794
nouvelle-plage,Nouvelle plage,46.856646400000002,6.848428000000000,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716,4,52599.095
zugerseecholler_cham_blarerm,ZugerseeCholler_Cham_BlarerM,47.178215700000003,8.480012800000001,6300,CH,l,Zugersee,zug,zugersee,True,Zug,1711,30542,4,64555.079
via-mirasole-spiaggia,Via Mirasole spiaggia,46.199530000000003,9.014930000000000,6500,CH,r,Ticino,bellinzona,ticino,True,Bellinzona,5002,43220,0,121677.360
tolochenaz,Tolochenaz,46.497509500000000,6.482874700000000,1131,CH,l,Lac Léman,tolochenaz,lac-leman,True,Tolochenaz,5649,1933,2,63875.328
luscherz-two,Lüscherz two,47.047519000000001,7.152829200000000,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,6,39654.093
zugersee_immensee_guedesd,zugersee_Immensee_Guedesd,47.106686900000000,8.478881200000000,6344,CH,l,Zugersee,meierskappel,zugersee,False,Meierskappel,1064,1460,5,28848.716
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.128618099999997,8.191873700000000,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169,0,63876.736
erlach-camping-strand,Erlach camping strand,47.047159000000001,7.097854000000000,3235,CH,l,Bielersee,erlach,bielersee,True,Erlach,492,1385,3,38781.930
lugano-centro,Lugano centro,46.002626999999997,8.950723999999999,6900,CH,l,Lago di Lugano,lugano,lago-di-lugano,True,Lugano,5192,63185,6,105721.495
oyonne,Oyonne,46.456682000000001,6.852262000000000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,2,97280.333
leuk-mattenstrasse,leuk mattenstrasse,46.314754499999999,7.622520500000000,3953,CH,r,Rhône,leuk,rhone,True,Leuk,6110,3949,0,87158.909
oben-am-see,Oben am see,46.744451069999997,8.049921100000001,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092,12,58321.244
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.431128100000002,8.492924300000000,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,0,90461.162
inn_pradella_kohlt,Inn_Pradella_KohlT,46.800876000000002,10.319993999999999,7550,CH,r,Inn,scuol,inn,False,Scuol,3762,4591,0,60356.593
sense_torishaus_g-cubes,Sense_Törishaus_g cubes,46.883120599999998,7.353188900000000,3174,CH,r,Sense,koniz,sense,False,Köniz,355,41784,0,72726.187
gasi-strand,Gäsi Strand,47.128442000000000,9.110830999999999,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,6,59498.831
preverenges,Préverenges,46.512689999999999,6.527657000000000,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,2,67132.246
golene-gudo,golene gudo,46.170655300000000,8.946657000000000,6515,CH,r,Ticino,gudo,ticino,True,Bellinzona,5002,43220,0,74453.703
rivapiana,Rivapiana,46.172078999999997,8.813255000000000,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,7,87746.157
sorne_birse_wwfjura,sorne_birse_WWFJura,47.370986799999997,7.360909900000000,2800,CH,r,Birs,delemont,birs,False,Delémont,6711,12682,0,88234.313
foce-del-cassarate,Foce del Cassarate,46.002411000000002,8.961477000000000,6900,CH,r,Cassarate,lugano,cassarate,True,Lugano,5192,63185,5,86176.936
les-glariers,Les Glariers,46.176735999999998,7.228925000000000,6139,CH,r,Rhône,riddes,rhone,True,Riddes,6139,3133,0,106983.511
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.428472800000002,8.513088000000000,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,0,99243.631
sihl_zuerich_eggerskoehlingera,sihl_zuerich_eggerskoehlingera,47.381898100000001,8.538327900000001,8005,CH,r,Sihl,zurich,sihl,True,Zürich,261,415367,0,173894.038
zuerichsee_zurich_kullg,zuerichsee_zurich_kullg,47.353957299999998,8.550474299999999,8008,CH,l,Zurichsee,zurich,zurichsee,False,Zürich,261,415367,3,80832.458
flibach-river-right-bank,Flibach River Right bank,47.133741999999998,9.105461000000000,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,6,61550.859
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.775340000000000,6.630900000000000,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157,0,116210.530
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.363572300000001,8.675699099999999,8606,CH,l,Greifensee,greifensee,greifensee,False,Greifensee,194,5358,0,50154.869
mannewil,Mannewil,46.996381999999997,7.239024000000000,3283,CH,r,Aare,kallnach,aare,True,Kallnach,304,1920,0,68282.451
baby-plage-ii-geneve,Baby-Plage II Genève,46.208939999999998,6.164330000000000,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,1,132175.976
anarchy-beach,Anarchy Beach,46.447215999999997,6.859612000000000,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,3,48470.692
berlingen-swisslitterreport,Berlingen swisslitterreport,47.672431199999998,9.011055300000001,8267,CH,l,Untersee,berlingen,untersee,False,Berlingen,4801,890,1,39201.129
quai-maria-belgia,Quai Maria Belgia,46.460155999999998,6.836718000000000,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891,4,72647.131
thur_schwarzenbach_meiliw,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,9500,CH,r,Thur,wil,thur,False,Wil (SG),3427,23966,0,76760.170
lavey-les-bains-2,lavey les bains-2,46.207726000000001,7.011685000000000,Postal-code,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946,0,92999.241
bodensee_horn_huberm,bodensee_horn_huberm,47.498275700000001,9.456978200000000,9326,CH,l,Bodensee,horn,bodensee,False,Horn,4421,2752,4,53936.846
