slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.35971410,8.65484330,8117,CH,l,Greifensee,fallanden,greifensee,False,Fällanden,193,8672
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.36357230,8.67569910,8606,CH,l,Greifensee,greifensee,greifensee,False,Greifensee,194,5358
greifensee_maur_simmenc,greifensee_maur_simmenc,47.33238640,8.68551460,8124,CH,l,Greifensee,maur,greifensee,False,Maur,195,10215
greifensee_uster_fischerb_-2,greifensee_uster_fischerb_ 2,47.34743600,8.68988050,8610,CH,l,Greifensee,uster,greifensee,False,Uster,198,34722
greifensee_uster_fischerb_1,greifensee_uster_fischerb_1,47.35012740,8.68979720,8610,CH,l,Greifensee,uster,greifensee,False,Uster,198,34722
grendelbach_effretikon_dambonec,Grendelbach_Effretikon_DamboneC,47.42564910,8.69070620,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False,Illnau-Effretikon,296,17068
gasi-strand,Gäsi Strand,47.12844200,9.11083100,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724
hauterive-petite-plage,Hauterive Petite plage,47.01079700,6.98030400,2068,CH,l,Neuenburgersee,hauterive-ne,neuenburgersee,True,Hauterive (NE),6454,2623
hafeli,Häfeli,46.69028340,7.89859220,3806,CH,l,Brienzersee,bonigen,brienzersee,True,Bönigen,572,2536
impromptu_cudrefin,Impromptu_Cudrefin,46.96449600,7.02793600,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633
inn_pradella_kohlt,Inn_Pradella_KohlT,46.80087600,10.31999400,7550,CH,r,Inn,scuol,inn,False,Scuol,3762,4591
jardin-botanique,Jardin Botanique,46.22590880,6.14935720,1202,CH,l,Lac Léman,geneve,lac-leman,False,Genève,6621,201818
jona-river-rastplatz,Jona river Rastplatz,47.21610000,8.84443000,8654,CH,r,Jona,jona-city,jona,True,Rapperswil-Jona,3340,26999
jona_tann_nusslin,jona_tann_nusslin,47.26842720,8.86412510,8635,CH,r,Jona,durnten,jona,False,Dürnten,113,7637
katzenbach_zuerich_sanesim,katzenbach_zuerich_sanesim,47.42847280,8.51308800,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367
katzensee_regensdorfzuerichaffoltern_stueberj,katzensee_regensdorfzuerichaffoltern_stueberj,47.43112810,8.49292430,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367
kusnachter-dorfbach-tobelweg-1-4,Küsnachter Dorfbach Tobelweg 1-4,47.31777000,8.58825800,8700,CH,r,Dorfbach,kusnacht,dorfbach,True,Küsnacht (ZH),154,14397
la-morges,La Morges,46.50406300,6.49409900,1110,CH,l,Lac Léman,morges,lac-leman,False,Morges,5642,15708
la-pecherie,La Pêcherie,46.46391870,6.38573210,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851,442
la-petite-plage,La Petite plage,46.78505400,6.65687700,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157
la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.77534000,6.63090000,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157
lac-leman-hammerdirt,Lac Léman Hammerdirt,46.45038920,6.85823420,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828
lacleman_gland_kubela,lacléman_gland_kubela,46.40286930,6.28193580,1196,CH,l,Lac Léman,gland,lac-leman,False,Gland,5721,13109
lacleman_gland_lecoanets,Lacléman_Gland_LecoanetS,46.40281060,6.28195860,1196,CH,l,Lac Léman,gland,lac-leman,True,Gland,5721,13109
lacleman_vidy_santie,lacléman_vidy_santie,46.51831780,6.58960780,1007,CH,l,Lac Léman,lausanne,lac-leman,False,Lausanne,5586,139111
