location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
Lavey les bains,46.205158700000005,7.012722,1892,CH,r,Rhône,lavey-les-bains,rhone,True,Lavey-Morcles,5406,946,47623.787,48424.36158375625,0,0,1,0,0
Le Pierrier,46.439727000000005,6.888967999999999,1815,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984,81273.004,30757.248268083174,4,3,6,2,2
Le Port,46.452245,6.855180000000001,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,74055.094,33448.927257883566,2,2,6,0,1
Les Glariers,46.176736,7.228925,6139,CH,r,Rhône,riddes,rhone,True,Riddes,6139,3133,34644.58,55327.874956682135,0,1,4,0,0
Les Vieux Ronquoz,46.2220487,7.361664,1950,CH,r,Rhône,sion,rhone,True,Sion,6266,34708,106410.705,56216.561224989775,0,3,6,3,3
Ligerz strand,47.083979,7.135894,2514,CH,l,Bielersee,ligerz,bielersee,True,Ligerz,740,544,13982.721,24194.855429847168,4,0,0,0,0
limmat_dietikon_keiserp,47.4079891,8.4095398,8953,CH,r,Limmat,dietikon,limmat,False,Dietikon,243,27265,81006.775,45499.822295640646,0,3,6,2,2
Limmat_Unterengstringen_OggierBührer,47.409400299999994,8.4469334,8103,CH,r,Limmat,unterengstringen,limmat,False,Unterengstringen,249,3881,69417.69,50290.7184362584,0,1,4,0,0
Limmat_Zuerich_JansenA,47.4000247,8.484684699999999,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,92530.927,73866.3903136805,0,3,6,3,3
limmat_zuerich_suterd&glauserp,47.3945393,8.5134435,8005,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,199227.075,70562.89367681899,0,3,6,3,3
Limmat_Zuerich_WagnerC,47.4034956,8.4777701,8064,CH,r,Limmat,zurich,limmat,False,Zürich,261,415367,79888.891,63308.949653930234,0,3,6,3,3
limmat_zürich_mortensena_meiera,47.4002515,8.485411000000001,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,102550.396,74752.83534179121,0,3,6,3,3
Linthdammweg,47.13179,9.09191,8872,CH,r,Linthkanal,weesen,linthkanal,True,Weesen,3316,1724,57319.144,37952.3413378968,6,0,2,0,0
Linth_Mollis,47.131370000000004,9.094768,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,Glarus Nord,1630,18483,45506.12,39171.65567092868,7,3,6,0,1
Linth_Route9brücke,47.12573,9.117339999999999,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,Glarus Nord,1630,18483,3328.8390000000004,23416.08089717737,6,3,6,0,1
Lorze_Baar_BlarerE,47.1954019,8.540237,6340,CH,r,Lorze,baar,lorze,False,Baar,1701,24468,0.0,0.0,0,3,6,2,2
Lüscherz plage,47.0479551,7.151242,2576,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,41697.528,17575.8442709513,6,0,0,0,0
Lüscherz two,47.047519,7.1528292,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,43346.898,19700.832896308908,6,0,0,0,0
lötschebach_bern_scheurerk,46.964946000000005,7.492835899999999,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,Ostermundigen,363,17751,0.0,8297.776140065022,0,3,6,0,1
Maladaire,46.446296000000004,6.87696,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,51229.478,32944.284069649235,3,2,6,0,1
Mammern swisslitterreport,47.6558366,8.9553168,8266,CH,l,Untersee,steckborn,untersee,False,Steckborn,4864,3753,0.0,0.0,0,1,4,0,0
mols rocks,47.1143432,9.2881737,8885,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,13992.104,22846.673334708306,7,1,4,0,0
Murg Bad,47.115307,9.215691,8877,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,33451.745,25550.626210815055,6,1,4,0,0
Murg_Waengi_StrickerR,47.49361,8.961592800000002,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720,0.0,0.0,0,1,5,0,0
Mühlehorn dorf,47.118448,9.172124,8874,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,18501.07,26343.150399974038,7,3,6,0,1
Müllermatte,47.133339,7.227907000000001,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,11453.662,44906.85767855924,4,3,6,3,3
Neuenburgersee_Cudrefin_MatterA,46.962708899999996,7.0259681,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,Cudrefin,5456,1633,23086.617,20544.849794102938,6,0,2,0,0
Nidau strand,47.127196000000005,7.232613000000001,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823,43385.083,45986.2607567407,4,2,6,0,0
Nouvelle plage,46.856646399999995,6.848428,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716,6416.102,23291.810134327017,4,2,6,0,1
Ognonnaz 1,46.4599413,6.8591341,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891,101669.211,52960.393619878654,1,3,6,1,1
Oyonne,46.456682,6.852262,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,113022.003,49114.57939773664,2,2,6,0,1
pacha mama-gerra,46.123473,8.783508,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,25614.663,13889.662965575506,18,1,5,0,0
Parc des Pierrettes,46.515215000000005,6.575531,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,26085.707,11580.53291289355,1,1,5,0,0
Pécos Plage,46.80359,6.63665,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357,10722.863,29538.305686728563,6,1,4,0,0
Pfaffner_Rothrist_Ischik,47.298567799999994,7.8994664000000006,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127,39633.144,39757.67224358058,0,2,6,0,1
Pierrier sud,46.4395601,6.8910000999999985,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,90692.622,31795.429421894965,4,3,6,2,2
Plage de Cheyres,46.818689,6.782255999999999,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,28434.366,22475.414140176108,6,0,3,0,0
Plage de Dorigny,46.518169,6.583319,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,7089.828,21269.684662469077,1,1,5,0,0
Plage de St Sulpice,46.513265000000004,6.570977,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,31810.232000000004,15429.224439259175,1,1,5,0,0
Pointe d'Areuse,46.94619,6.87097,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,2977.322,12837.382543742671,7,2,5,0,0
Préverenges,46.51269,6.527657,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,44317.143,29205.264589356742,2,1,5,0,0
Quai Maria Belgia,46.460156,6.836717999999999,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891,89443.06199999998,31211.105162509437,4,3,6,1,1
Rastplatz Stampf,47.215177000000004,8.844286,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999,4262.696,16658.531384316964,5,3,6,2,2
Reuss,47.329869099999996,8.3568493,5626,CH,r,Reuss,bremgarten,reuss,False,Bremgarten (AG),4063,7946,0.0,0.0,0,2,6,0,1
reuss_hünenberg_eberhardy,47.2329755,8.401012099999999,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808,0.0,0.0,0,2,6,0,1
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549,0.0,0.0,0,1,4,0,0
Reuss_St.Karli_LinigerS/ImhofY,47.057111799999994,8.287914500000001,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,0.0,0.0,0,3,6,3,3
Rhein Beach Tinguely,47.5586439,7.612153599999999,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,0.0,0.0,0,3,6,3,3
Rhein_Basel,47.556801799999995,7.6010856,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,0.0,0.0,0,3,6,3,3
Rhein_Basel_HungerbuehlerN,47.558217600000006,7.6103488,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,0.0,0.0,0,3,6,3,3
rhein_domatems_foppa_f,46.8380375,9.447638699999999,7013,CH,r,Rhein,domat-ems,rhein,False,Domat/Ems,3722,8038,0.0,0.0,0,2,6,0,1
rhein_eglisau_gomringerp,47.5733159,8.5345847,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217,0.0,0.0,0,1,5,0,0
Rhein_Hemishofen_StollL,47.675523600000005,8.828029199999998,8261,CH,r,Rhein,hemishofen,rhein,False,Hemishofen,2962,468,0.0,0.0,0,0,0,0,0
Rivapiana,46.172079,8.813255,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,82224.479,35865.22959444152,7,2,6,0,0
Rocky plage,46.20973675,6.16495237,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,23169.716,44502.4687000198,4,3,6,3,3
Rolle-plage,46.4613,6.349739,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861,6259,32075.585,22680.48133285309,5,2,6,0,0
Route 13,46.162521000000005,8.7825791,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826,63788.742,60686.34164638255,1,3,6,0,1
Ruisseau de la croix plage,46.81392,6.7747,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,8036.951,14493.472986750772,7,0,3,0,0
Saint Sulpice,46.507808000000004,6.545344,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,12115.393999999998,21220.353303324577,1,1,5,0,0
san nazzaro-gambarogno,46.130443,8.798657,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,26208.615,22499.26079803005,13,1,5,0,0
schiffenensee_duedingen_hirschij,46.859151399999995,7.176437400000001,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,Düdingen,2293,7964,0.0,0.0,0,2,6,0,1
Schmerikon Bahnhof Strand,47.224779999999996,8.944180000000001,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,74313.15299999999,32565.65243284674,10,1,4,0,0
Schüsspark strand,47.1465,7.268619999999999,2504,CH,r,Schüss,biel,schuss,True,Biel/Bienne,371,55159,155844.697,63572.30279008202,0,3,6,3,3
seeflechsen,47.1302229,9.1033996,8872,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,905.461,35548.71425960123,8,3,6,0,1
Seemühlestrasse Strand,47.128640000000004,9.2951,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679,122.24,19175.069107133466,8,2,5,0,0
Seez,47.11983,9.300251,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679,30113.504,31371.835049063735,8,2,5,0,0
Seez_Spennwiesenbrücke,47.114948,9.310122999999999,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679,10060.996,43211.74257249565,4,2,5,0,0
sempachersee_sempach_tampec,47.128618100000004,8.1918737,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169,0.0,0.0,0,1,5,0,0
Sense_Törishaus_g cubes,46.8831206,7.353188900000001,3174,CH,r,Sense,koniz,sense,False,Köniz,355,41784,8249.593,16158.448226504976,0,3,6,3,3
Sentiero Giro del Golf spiaggia,46.14577,8.79043,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,7749.124,10445.106849349298,1,2,5,0,0
Signalpain,46.7862,6.647360000000001,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,40535.059,33301.226270230065,8,3,6,2,2
sihlsee_einsiedeln_schilligerllacherl,47.141393799999996,8.7603588,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False,Einsiedeln,1301,15870,0.0,0.0,0,3,6,0,1
Sihl_Adliswil_Oggi_Fort,47.3124217,8.5262549,8134,CH,r,Sihl,adliswil,sihl,False,Adliswil,131,18769,0.0,660.1898687201926,0,3,6,0,1
sihl_leimbach_kruegerm,47.325436100000005,8.5191195,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,35436.128,31137.724546445552,0,3,6,3,3
