code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G212,Chemicals,Oil nodules or coal fragments -- not from a BBQ,Undefined,unk,none,Parent code,False,False,False,none
G213,Chemicals,Paraffin wax,Undefined,recre,none,Parent code,True,False,False,181
G214,Chemicals,Oil/tar,Construction,unk,none,Parent code,False,False,False,111
G135,Cloth,"Clothes, footware, headware, gloves",Clothing,pi,none,Parent code,True,False,False,54
G136,Cloth,Shoes,Clothing,pi,none,Parent code,True,False,False,none
G137,Cloth,"Clothing, towels & rags",Clothing,unk,none,Parent code,True,False,False,54
G138,Cloth,Shoes and sandals,Clothing,pi,none,Parent code,True,False,False,57
G139,Cloth,Backpacks,Utility items,pi,none,Parent code,True,False,False,none
G140,Cloth,"Bags, burlap, hessian, jute or hemp",Packaging,unk,none,Parent code,False,False,False,56
G141,Cloth,Carpet,Utility items,unk,none,Parent code,False,False,False,55
G142,Cloth,"Rope , string or nets",Utility items,recre,none,Parent code,True,False,False,none
G143,Cloth,Sails and canvas,Utility items,recre,none,Parent code,True,False,False,none
G144,Cloth,Tampons,Personal hygiene,waste_water,none,Parent code,False,False,False,100
G145,Cloth,Other textiles,Undefined,unk,none,Parent code,True,False,False,59
G902,Cloth,"Mask medical, cloth reusable",Personal hygiene,pi,none,G145,True,False,False,59
G200,Glass,"Glass or ceramic drink bottles, pieces",Packaging,food,none,Parent code,True,True,False,91
G201,Glass,"Jars, glass or pottery, includes pieces",Packaging,unk,none,Parent code,True,False,False,93
G202,Glass,Light bulbs,Utility items,unk,,Parent code,True,False,False,
G203,Glass,"Tableware ceramic or glass, cups, plates, pieces",Food,unk,none,Parent code,False,False,False,none
G204,Glass,"Construction material; bricks, pipes, cement",Construction,cat,none,Parent code,True,False,False,94
G205,Glass,Fluorescent light tubes,Utility items,unk,,Parent code,True,False,False,
G206,Glass,Glass buoys,Fishing,recre,,Parent code,True,False,False,
G207,Glass,Octopus pots,Fishing,recre,,Parent code,True,False,False,
G208,Glass,Glass or ceramic fragments > 2.5 cm,Undefined,unk,none,Parent code,True,False,False,none
G209,Glass,Large glass objects,Undefined,unk,,Parent code,True,False,False,
G210,Glass,Other glass/ceramic,Undefined,unk,none,Parent code,True,False,False,96
