code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G938,Plastic,"Toothpicks, dental floss plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G939,Plastic,"Flowers, plants plastic",Undefined,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G940,Plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,Where does it come from,Where does it come from,G73,True,False,False,Ospar...
G941,Plastic,Packaging plastic nonfood or unknown,Packaging,Where does it come from,Where does it come from,G124,False,True,False,48
G942,Plastic,"Plastic shavings from lathes, CNC machining",Industry,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G944,Plastic,Pellet mass from injection molding,Industry,Manufacturing,Where does it come from,G112,False,True,False,Ospar...
G99,Plastic,Syringes - needles,Medical,Where does it come from,,Parent code,True,False,False,
G127,Rubber,Rubber boots,Clothing,Where does it come from,,Parent code,True,False,False,
G128,Rubber,Tires and belts,Vehicle,Where does it come from,,Parent code,True,False,False,
G129,Rubber,Inner tubes and rubber sheets,Vehicle,Where does it come from,,Parent code,True,False,False,
G130,Rubber,Wheels,Vehicle,Where does it come from,,Parent code,True,False,False,
G131,Rubber,Rubber bands,Utility items,Where does it come from,,Parent code,True,False,False,
G134,Rubber,Other rubber,Undefined,Where does it come from,,Parent code,True,False,False,
G900,Rubber,Gloves latex  personal protective equipment,Personal hygiene,Where does it come from,none,G134,True,True,False,53
G998,Undefined,No exposed shoreline,Where does it come from,Where does it come from,Where does it come from,Parent code,True,False,False,Ospar...
G211,Unidentified,"Other medical items (swabs, bandaging, adhesive plaster)",Medical,Where does it come from,none,Parent code,True,True,False,105
G999,Unidentified,No objects found on this survey,Undefined,Where does it come from,,Parent code,True,False,False,
G166,Wood,Paint brushes,Utility items,Where does it come from,,Parent code,True,False,False,
G173,Wood,Other,Undefined,Where does it come from,,Parent code,True,False,False,
G916,Wood,Pencils and pieces,Utility items,Where does it come from,none,G170,True,False,False,none
