UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,KUNSTBAUTE,WANDERWEGE,BEFAHRBARK,EROEFFNUNG,STUFE,RICHTUNGSG,STR_NAME_U,NAME,BELAGSART,KREISEL,VERKEHRSBE,EIGENTUEME,VERKEHRSBD,slug,water_name,city_slug,length
{396912F5-3FEB-4858-85FE-A7277EC5EBD9},2016/05/18,2007/09/20,2000,,2013,6,verbessert,swisstopo,2013,6,Autostrasse,1412_Aufbau,Tunnel,,k_W,,-2,Falsch,{39DBDDF8-7409-41D0-8376-399216CB246C},Milchbucktunnel,Hart,Falsch,,Bund,Hochleistungsstrasse,sihl_zuerich_eggerskoehlingera,Sihl,zurich,82824.488
{32611D43-B0B6-42FA-AF18-3308C025EA15},2015/08/27,2009/03/04,2004,3,2015,6,verbessert,swisstopo,2009,5,10m Strasse,2016_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,jardin-botanique,Lac Léman,geneve,47795.909
{B5AD2EB9-7DBA-46BA-9282-0A4D854DC38A},2015/06/26,2009/04/27,2005,4,2018,11,verbessert,swisstopo,2011,4,Autobahn,2018_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,pecos-plage,Neuenburgersee,grandson,29717.904
{8B974617-FC17-46A6-B98A-3F1129C3674B},2015/11/24,2009/03/04,2004,3,2015,6,verbessert,swisstopo,2015,6,6m Strasse,2016_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,ub,Verbindungsstrasse,arve_carouge_battistellak,Arve,veyrier,58756.724
{D90835DE-B638-4314-8AB2-47A7FB18B955},2015/10/07,2007/09/20,2000,,2013,6,verbessert,swisstopo,2010,6,Autobahn,1412_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,limmat_zuerich_wagnerc,Limmat,zurich,63260.842
{541B2518-4A36-4A2A-8148-ED8BDC2CB0E7},2016/07/07,2009/08/12,2004,8,2016,6,verbessert,swisstopo,2016,6,1m Weg,2016_Aufbau,Keine,Wanderweg,k_W,,0,k_W,,,Natur,k_W,,k_W,k_W,pointe-dareuse,Neuenburgersee,boudry,12831.054
{5AF5D60C-5E11-429F-964D-EF349B84AB62},2015/09/02,2009/04/27,2006,4,2012,6,verbessert,swisstopo,2012,3,6m Strasse,1312_Aufbau,Keine,Wanderweg,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,sundbach-strand,Thunersee,beatenberg,16973.981
{6DC45634-A342-4FB1-9467-1F5DA33FCAE0},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,linthdammweg,Linthkanal,weesen,38050.812
{1D4CB4A5-16F6-478C-A2C0-A7046D12DFAB},2019/11/22,2009/04/27,2005,4,2019,6,verbessert,swisstopo,2019,6,Autobahn,2018_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,birs_reinach_dinuccin,Birs,reinach,78878.081
{766575E1-63CC-4935-812E-26EB92F6B210},2016/02/01,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,grendelbach_effretikon_dambonec,Grändelbach,illnau-effretikon,57017.917
{6378955A-4CD6-4810-916C-4D870A0224A3},2019/03/14,2009/04/27,2005,4,2019,10,verbessert,swisstopo,2018,6,2m Weg,2018_Aufbau,Keine,,Wahr,,0,Falsch,,,Natur,k_W,,k_W,k_W,beich,Aare,walperswil,28002.644
{32BFA81F-2C7F-4E9E-913F-328C09860B54},2016/02/15,2007/09/20,2002,,2013,6,verbessert,swisstopo,2013,6,4m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,jona_tann_nusslin,Jona,durnten,40253.443
{A11204E4-50D6-4AA6-947B-30AEBACB7DBC},2016/02/17,2007/09/20,2000,,2013,6,verbessert,swisstopo,2013,6,6m Strasse,2015_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,vierwaldstattersee_weggis_schoberls_2,Quatre Cantons,weggis,17808.818
{809B2349-3F88-4155-BBA0-EA158EDF2EE2},2016/02/25,2009/04/27,2000,4,2013,6,verbessert,swisstopo,2013,6,Autobahn,2015_Aufbau,Tunnel,,k_W,,-2,Wahr,{C96AF7A0-EE56-417B-8A84-1FD0B843916C},Reussporttunnel,Hart,Falsch,,Bund,Hochleistungsstrasse,reuss_stkarli_linigersimhofy,Reuss,luzern,74603.352
{EF0B1C39-AF7D-4D48-B89E-B6B57F06267B},2015/04/16,2009/04/27,2004,4,2016,6,verbessert,swisstopo,2010,4,10m Strasse,2017_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,baye-de-clarens,Lac Léman,montreux,31001.914
{9F56A8A2-AC78-4F22-89F4-0A72EAAA3E18},2019/12/20,2009/04/27,2006,4,2012,7,restrukturiert,swisstopo,2009,8,Autostrasse,1312_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Bund,Hochleistungsstrasse,hafeli,Brienzersee,bonigen,29746.653
{AA6E765A-CAEB-41DB-A535-4E6A7EDE9CC7},2016/02/05,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,6m Strasse,2015_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,ub,k_W,seemuhlestrasse-strand,Walensee,walenstadt,19358.408
{2BCAE3BE-58A3-4F4B-9657-40C141E8D45F},2016/02/19,2007/09/20,2002,,2013,6,verbessert,swisstopo,2013,6,4m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,ub,k_W,jona-river-rastplatz,Jona,jona-city,21035.390
{CA0C35B4-27EA-4536-88BA-7276130B3CFF},2019/02/14,2007/09/20,2000,,2019,2,verbessert,swisstopo,2019,2,2m Weg,2015_Aufbau,Keine,,Falsch,,0,Falsch,,,Natur,k_W,,k_W,k_W,zugersee_immensee_guedesd,Zugersee,meierskappel,18445.848
{79D59B98-9BDF-49B3-8B40-4FDDF85A319E},2011/12/22,2007/09/20,2002,,2013,6,verbessert,swisstopo,2010,6,2m Weg,1412_Aufbau,Keine,,Wahr,,0,Falsch,,,Natur,k_W,,k_W,k_W,greifensee_uster_fischerb_-2,Greifensee,uster,23936.230
{F964F873-C727-477A-B4A8-8B923AF5E96E},2015/03/16,2009/03/04,2004,3,2015,6,verbessert,swisstopo,2009,5,10m Strasse,2016_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,ub,Durchgangsstrasse,rocky-plage,Lac Léman,geneve,45731.026
{2C5C3226-0E18-4449-9DC8-F66790496559},2016/02/04,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Bruecke,,k_W,,2,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,murg-bad,Walensee,quarten,25540.347
{658AF7DF-9C6E-4352-9715-FD6A71314E19},2016/02/03,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Keine,,k_W,,0,Wahr,,,Hart,Falsch,,Bund,Hochleistungsstrasse,sitter_stgallen_jennya,Sitter,st-gallen,45765.184
{7D97A083-25A5-412E-A116-8245E2E5E85C},2016/02/02,2007/09/20,2002,,2014,6,verbessert,swisstopo,2014,6,Autobahn,2015_Aufbau,Tunnel,,k_W,,-3,Wahr,{F7F6C575-515F-49EA-B665-3E6867726059},Rosenbergtunnel,Hart,Falsch,,Bund,Hochleistungsstrasse,sitter_stgallen_steinbrunnerf,Sitter,st-gallen,37962.725
{A54AEC75-2B17-4179-89D9-ABA3507388AE},2018/08/15,2007/09/20,2000,,2016,6,verbessert,swisstopo,2016,6,10m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,zurichsee-feldeggstr-banningersand,Zurichsee,zurich,45032.060
{C7F2BFB9-3765-496D-96E5-972E9DD900F4},2015/03/17,2009/08/12,2004,8,2016,6,verbessert,swisstopo,2010,3,6m Strasse,2016_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Verbindungsstrasse,neuenburgersee_cudrefin_mattera,Neuenburgersee,cudrefin,20723.136
{92215A4F-C279-40F2-BC0B-B39EC6DDDFC6},2015/10/07,2007/09/20,2000,,2013,6,verbessert,swisstopo,2010,6,Einfahrt,1412_Aufbau,Bruecke,,k_W,,1,Wahr,,,Hart,k_W,,Bund,Hochleistungsstrasse,sihl_zuerich_scherfs,Sihl,zurich,86986.728
{2C69DA94-C8ED-4D8B-BC15-B6B7081527C3},2016/03/01,2009/04/27,2006,4,2018,6,verbessert,swisstopo,2015,6,3m Strasse,2018_Aufbau,Keine,,Wahr,,0,Falsch,,,Hart,Falsch,,ub,k_W,sentiero-giro-del-golf-spiaggia,Lago Maggiore,ascona,10440.091
{2477C3AD-858E-4826-A546-4994CA5953FF},2016/02/11,2007/09/20,2002,,2013,6,verbessert,swisstopo,2013,6,4m Strasse,1412_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,ub,k_W,greifensee_greifensee_simmenc,Greifensee,greifensee,24093.756
{0760D4FC-B5AC-45E4-81B1-750DA42C2FCC},2019/08/21,2009/04/27,2006,4,2018,6,verbessert,swisstopo,2018,6,10m Strasse,2018_Aufbau,Keine,,k_W,,0,Falsch,,,Hart,Falsch,,Kanton,Durchgangsstrasse,rivapiana,Lago Maggiore,minusio,36425.916
