slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
greifensee_fallanden_meistery,greifensee_fällanden_meistery,47.360938099999998,8.653722800000001,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False,0
greifensee_fallanden_simmenc,greifensee_fällanden_simmenc,47.359714099999998,8.654843300000000,Fällanden,8117,CH,l,Greifensee,fallanden,greifensee,False,0
greifensee_greifensee_simmenc,greifensee_greifensee_simmenc,47.363572300000001,8.675699099999999,Greifensee,8606,CH,l,Greifensee,greifensee,greifensee,False,0
greifensee_maur_simmenc,greifensee_maur_simmenc,47.332386399999997,8.685514599999999,Maur,8124,CH,l,Greifensee,maur,greifensee,False,0
greifensee_uster_fischerb_-2,greifensee_uster_fischerb_ 2,47.347436000000002,8.689880499999999,Uster,8610,CH,l,Greifensee,uster,greifensee,False,0
greifensee_uster_fischerb_1,greifensee_uster_fischerb_1,47.350127399999998,8.689797199999999,Uster,8610,CH,l,Greifensee,uster,greifensee,False,0
grendelbach_effretikon_dambonec,Grendelbach_Effretikon_DamboneC,47.425649100000001,8.690706199999999,Illnau Effretikon,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False,0
gasi-strand,Gäsi Strand,47.128442000000000,9.110830999999999,Weesen,8872,CH,l,Walensee,weesen,walensee,True,15
hauterive-petite-plage,Hauterive Petite plage,47.010796999999997,6.980304000000000,Hauterive (NE),2068,CH,l,Neuenburgersee,hauterive-ne,neuenburgersee,True,2
hafeli,Häfeli,46.690283399999998,7.898592200000000,Bönigen,3806,CH,l,Brienzersee,bonigen,brienzersee,True,10
impromptu_cudrefin,Impromptu_Cudrefin,46.964495999999997,7.027936000000000,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,12
inn_pradella_kohlt,Inn_Pradella_KohlT,46.800876000000002,10.319993999999999,Scuol,7550,CH,r,Inn,scuol,inn,False,0
jardin-botanique,Jardin Botanique,46.225908799999999,6.149357200000000,Genève,1202,CH,l,Lac Léman,geneve,lac-leman,False,0
jona-river-rastplatz,Jona river Rastplatz,47.216099999999997,8.844429999999999,Jona city,8654,CH,r,Jona,jona-city,jona,True,8
jona_tann_nusslin,jona_tann_nusslin,47.268427199999998,8.864125100000001,Dürnten,8635,CH,r,Jona,durnten,jona,False,0
