UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,slug,water_name,city_slug,area
{66ABF431-46AD-4D91-93E3-4DCC2535EF7D},2014/08/20,2010/12/16,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,,,,plage-de-cheyres,Neuenburgersee,cheyres,28502.998
{D50CEFAF-D0B1-4284-B42C-E9A53C7BF5B3},2014/12/09,2011/06/09,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,bain-des-dames,Lac Léman,la-tour-de-peilz,78545.762
{9625DC6D-EC55-4773-ACB3-863512ABFC75},2019/01/11,2009/02/19,2005,6,2018,6,verbessert,swisstopo,2018,6,Gebaeude,2018_Aufbau,,,,strandboden-biel,Bielersee,biel,48855.512
{A166919B-5B14-4E0B-9E30-1F0E81F618C0},2013/11/08,2011/10/26,2011,3,2018,6,real,swisstopo,2011,6,Gebaeude,2018_Aufbau,,,,birs_basel_grunern,Birs,basel,156202.448
{E3E2C0D1-2C10-46BE-AF6C-28DB945EDD97},2013/08/27,2013/08/27,2010,6,2013,6,verbessert,swisstopo,2010,6,Kapelle,1412_Aufbau,,,,zuerichsee_maennedorf_vanderkaadene,Zurichsee,mannedorf,79005.116
{C9B8C879-411D-49B1-9EBE-799742885B30},2013/08/05,2013/08/05,2010,6,2014,6,verbessert,swisstopo,2010,6,Treibhaus,1412_Aufbau,,,,chriesbach_duebendorf_schneidera,Chriesbach,dubendorf,154259.642
{8F827FCC-D45E-4E05-86E3-4C8D7BB0136D},2014/05/15,2010/05/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Gebaeude,2016_Aufbau,,,,preverenges,Lac Léman,preverenges,44305.598
{F7EA43F6-67F1-4045-811F-67A8A88A643B},2013/11/08,2011/10/20,2011,3,2018,6,real,swisstopo,2011,6,Gebaeude,2018_Aufbau,,,,rhein_basel_blarerp_2,Rhein,huningue,9673.394
{9578FD66-EE95-4FC9-8300-9335FDD0F49A},2013/12/03,2011/04/07,2010,3,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2016_Aufbau,,,,aare_kehrsatz_stolten,Aare,belp,23801.519
{D4B055C6-5D5A-4755-8EF1-6DAFBE00792A},2016/07/19,2009/02/19,2002,6,2015,6,verbessert,swisstopo,2015,6,Turm,2015_Aufbau,,,,bodensee_arbon_moslis,Bodensee,arbon,62149.438
{225000D9-950D-48B3-8F04-559FB585B515},2016/07/19,2009/02/19,2004,6,2016,6,verbessert,swisstopo,2015,6,Sakrales Gebaeude,2016_Aufbau,,,,bern-tiergarten,Aare,bern,70579.587
{FD43E14B-81BA-4162-B828-6D463134C901},2013/10/07,2012/12/18,2012,3,2012,3,verbessert,swisstopo,2012,3,Gebaeude,1312_Aufbau,,,,langete_langenthal_geiserm,Langeten,langenthal,126097.868
{94966C93-362E-4854-BF49-7D29F6504CD3},2016/07/19,2009/02/19,2002,6,2015,6,verbessert,swisstopo,2015,6,Offenes Gebaeude,2015_Aufbau,,,,goldach_goldach_schlachterj,Goldach,goldach,44759.084
{D8D6C9E6-9820-4EA4-B350-CF414859F3E0},2014/05/12,2014/05/12,2013,6,2013,6,verbessert,swisstopo,2013,6,Hochkamin,1412_Aufbau,,,,aare_brugg_buchie,Aare,brugg,36478.667
{EE69A62F-A070-4400-99BD-296F74C122F3},2015/10/01,2009/08/18,2008,8,2014,6,verbessert,swisstopo,2014,6,Gebaeude,2015_Aufbau,,,,walensee_walenstadt_wysse,Walensee,walenstadt,19661.243
