,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
124,G10,20,strandboden-biel,55159.0,food,0.016,l,0.02,1,1,8.122816992933149e-05,0.008
125,G10,20,thun-strandbad,43734.0,food,0.016,l,0.01,1,1,8.122816992933149e-05,0.008
126,G10,22,mullermatte,55159.0,food,0.088,l,0.1,1,4,0.00032491267971732594,0.008
127,G10,22,weissenau-neuhaus,5751.0,food,0.08,l,0.02,1,2,0.00016245633985866297,0.008
128,G10,23,weissenau-neuhaus,5751.0,food,0.08,l,0.01,1,1,8.122816992933149e-05,0.008
129,G10,24,mullermatte,55159.0,food,0.088,l,0.03,1,1,8.122816992933149e-05,0.008
130,G10,24,thun-strandbad,43734.0,food,0.016,l,0.01,1,1,8.122816992933149e-05,0.008
131,G10,25,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
132,G10,28,evole-plage,33489.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
133,G10,28,mullermatte,55159.0,food,0.088,l,0.03,1,1,8.122816992933149e-05,0.008
134,G10,30,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.04,1,1,8.122816992933149e-05,0.008
135,G10,30,strandboden-biel,55159.0,food,0.016,l,0.03,1,1,8.122816992933149e-05,0.008
136,G10,32,la-petite-plage,30157.0,food,0.088,l,0.01,1,1,8.122816992933149e-05,0.008
137,G10,33,evole-plage,33489.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
138,G10,33,weissenau-neuhaus,5751.0,food,0.08,l,0.03,1,1,8.122816992933149e-05,0.008
139,G10,34,oben-am-see,3092.0,food,0.008,l,0.02,1,1,8.122816992933149e-05,0.008
140,G10,35,mullermatte,55159.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
141,G10,39,weissenau-neuhaus,5751.0,food,0.08,l,0.01,1,1,8.122816992933149e-05,0.008
142,G10,40,mullermatte,55159.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
143,G10,44,mullermatte,55159.0,food,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
144,G10,142,bern-fahrstrasse,133883.0,food,0.008,r,0.0,1,0,0.0,0.008
145,G10,143,aare_koniz_hoppej,41784.0,food,0.008,r,0.0,1,0,0.0,0.008
