,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
154,G60,plastique,Bâtons lumineux,Fishing,Where does it come from,,Parent code,True,False,False,
155,G61,plastique,Autres activités liées à la pêche,Fishing,Where does it come from,,Parent code,True,False,False,
156,G62,plastique,Flotteurs pour filets,Fishing,Where does it come from,,Parent code,True,False,False,
157,G63,plastique,Bouées,Undefined,Where does it come from,,Parent code,True,False,False,
158,G64,plastique,Garde-boue,Vehicle,Where does it come from,,Parent code,True,False,False,
159,G65,plastique,Seaux,Utility items,Where does it come from,,Parent code,True,False,False,
160,G66,plastique,sangles/bandes ; fermeture de paquet en plastique dur,Packaging,Where does it come from,none,Parent code,True,False,False,39
161,G67,plastique,"Bâche, feuille plastique industrielle",Utility items,Industry,none,Parent code,False,False,False,40
162,G68,plastique,Fragments de fibre de verre,Fishing,Where does it come from,,Parent code,True,False,False,
163,G69,plastique,Casques ou casques de sécurité,Clothing,Where does it come from,,Parent code,True,False,False,
164,G7,plastique,"Bouteilles à boisson < = 0,5L",Packaging,Food and drink,Where does it come from,Parent code,True,True,False,4
165,G70,plastique,Cartouches de fusil de chasse,Hunting,Where does it come from,,Parent code,True,False,False,
166,G71,plastique,Chaussures sandales,Clothing,Where does it come from,,Parent code,True,False,False,
167,G72,plastique,Cônes de signalisation,Utility items,Where does it come from,,Parent code,True,False,False,
168,G73,plastique,Articles et pièces en mousse (pas d'emballage),Recreation,Utility,Unknown,Parent code,True,False,False,45
169,G74,plastique,Mousse de plastique pour l'isolation thermique ou ...,Undefined,Construction,Industrial,Parent code,False,False,False,45
170,G75,plastique,Plastique/polystyrène pièces 0 - 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
171,G76,plastique,"Plastique/polystyrène expansé 2,5 > < 50",Undefined,Where does it come from,Indirect,Parent code,True,False,False,46
172,G77,plastique,Plastique ou polystyrène > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
173,G78,plastique,Plastiques fragmentés .5mm < x < 25mm,Undefined,Where does it come from,none,Parent code,True,False,False,117
174,G79,plastique,Plastiques fragmentés x > 25mm,Undefined,None,None,Parent code,True,False,False,46
175,G8,plastique,"Bouteilles à boisson > = 0,5L",Packaging,Food and drink,none,Parent code,True,True,False,4
176,G80,plastique,Pièces en plastique > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
177,G81,plastique,"Morceaux de polystyrène expansé 0,5cm > < 2,5cm",Packaging,Construction,None,Parent code,False,False,False,117
178,G82,plastique,"Mousse de polystyrène expansé 2,5cm > <50cm",Undefined,Packaging,Construction,Parent code,False,False,False,46
179,G83,plastique,Pièces en polystyrène > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
180,G84,plastique,Disque compact ou conteneur,Packaging,Where does it come from,,Parent code,True,False,False,
181,G85,plastique,Emballage du sel,Packaging,Where does it come from,,Parent code,True,False,False,
182,G86,plastique,Arbres à palmes,Recreation,Where does it come from,,Parent code,True,False,False,
183,G87,plastique,"Ruban adhésif, masquage, emballage",Utility items,Where does it come from,none,Parent code,False,False,False,48
184,G88,plastique,"Téléphone, pièces détachées incluses",Utility items,Where does it come from,none,Parent code,True,False,False,48
185,G89,plastique,Déchets de construction en plastique,Construction,Where does it come from,,Parent code,True,False,False,
186,G9,plastique,Récipients pour produits chimiques et nettoyants,Packaging,Construction,Industry,Parent code,True,True,False,5
187,G90,plastique,Pots de fleurs en plastique,Agriculture,Where does it come from,,Parent code,True,False,False,
188,G901,plastique,"Masque médical, synthétique",Personal hygiene,Where does it come from,none,G124,True,True,False,48
189,G903,plastique,Récipients et sachets de désinfectant pour les mains,Personal hygiene,Where does it come from,none,G12,True,True,False,7
190,G904,plastique,"Feux d'artifice; capsules de fusées, pièces explosées",Recreation,Where does it come from,none,G124,False,True,False,48
191,G905,plastique,"Pince à cheveux, accessoires personnels",Personal hygiene,Where does it come from,Where does it come from,G124,True,False,False,48
192,G907,plastique,capsules de café en plastique,Undefined,Where does it come from,none,G124,False,True,False,48
193,G908,plastique,"Ruban ; électrique, isolant",Construction,none,none,G124,False,False,False,48
194,G909,plastique,"Mousse plastique pour l'isolation thermique  0,5cm > < 2.5cm,",Construction,none,none,G74,False,False,False,45
195,G91,plastique,Porte-biomasse,Water Treatment,Where does it come from,none,Parent code,False,False,False,91
196,G910,plastique,"Mousse plastique pour l'isolation thermique 2,5cm > < 50cm",Construction,Where does it come from,none,G74,False,False,False,46
197,G911,plastique,"Mousse de polystyrène; perles/boules expansées 0,5cm > < 2,5cm",Packaging,Construction,none,G81,False,True,False,117
198,G912,plastique,"Mousse de polystyrène; perles/boules expansées 2,5cm > <50cm",Packaging,Construction,none,G82,False,True,False,46
199,G913,plastique,Tétine pour bébé,Personal hygiene,Where does it come from,none,G124,True,False,False,48
200,G914,plastique,"Trombones, épingles à linge, articles utilitaires en plastique",Utility items,Where does it come from,none,G124,True,False,False,48
201,G915,plastique,"Réflecteurs, articles de mobilité en plastique",Utility items,Recreation,none,G124,True,False,False,48
202,G92,plastique,Conteneurs à appâts,Fishing,Where does it come from,,Parent code,True,False,False,
203,G922,plastique,"Étiquettes, codes à barres",Packaging,Where does it come from,none,G124,True,True,False,48
204,G925,plastique,Déshydratants/absorbants d'humidité,Utility items,Packaging,none,G124,True,True,False,Ospar...
205,G926,plastique,Du chewing-gum,Undefined,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
206,G927,plastique,Ligne de débrousailleuse,Utility items,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
207,G928,plastique,Rubans et boucles,Recreation,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
208,G93,plastique,"Colson, zip-ties",Utility items,Construction,none,Parent code,False,True,False,48
