loc_date,code,date,pcs_m,quantity,location,water_name,population,streets,buildings,rivs,wname_loc
"('rastplatz-stampf', '2020-11-21')",G112,2020-11-21,0.0,0,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rastplatz-stampf', '2020-12-22')",G112,2020-12-22,0.04,1,rastplatz-stampf,Zurichsee,26999,17521.85,4381.695,10,"('Zurichsee', 'rastplatz-stampf')"
"('rivapiana', '2020-11-27')",G112,2020-11-27,0.02,1,rivapiana,Lago Maggiore,7302,36425.916,82195.174,14,"('Lago Maggiore', 'rivapiana')"
"('rocky-plage', '2020-11-01')",G112,2020-11-01,0.0,0,rocky-plage,Lac Léman,201818,45731.026,23154.783,7,"('Lac Léman', 'rocky-plage')"
"('ruisseau-de-la-croix-plage', '2020-09-15')",G112,2020-09-15,0.0,0,ruisseau-de-la-croix-plage,Neuenburgersee,2320,14918.893999999998,8036.206999999999,13,"('Neuenburgersee', 'ruisseau-de-la-croix-plage')"
"('san-nazzaro-gambarogno', '2020-08-09')",G112,2020-08-09,0.0,0,san-nazzaro-gambarogno,Lago Maggiore,5192,22484.654,26207.072,26,"('Lago Maggiore', 'san-nazzaro-gambarogno')"
"('schmerikon-bahnhof-strand', '2020-10-23')",G112,2020-10-23,0.04,1,schmerikon-bahnhof-strand,Zurichsee,3710,33135.666,74296.86,18,"('Zurichsee', 'schmerikon-bahnhof-strand')"
"('seeflechsen', '2020-11-22')",G112,2020-11-22,0.0,0,seeflechsen,Walensee,18483,35720.015,1061.236,15,"('Walensee', 'seeflechsen')"
"('seemuhlestrasse-strand', '2020-11-22')",G112,2020-11-22,0.0,0,seemuhlestrasse-strand,Walensee,5679,19358.408,122.24,14,"('Walensee', 'seemuhlestrasse-strand')"
"('sentiero-giro-del-golf-spiaggia', '2020-05-27')",G112,2020-05-27,0.0,0,sentiero-giro-del-golf-spiaggia,Lago Maggiore,5481,10440.091,7746.465,2,"('Lago Maggiore', 'sentiero-giro-del-golf-spiaggia')"
"('sentiero-giro-del-golf-spiaggia', '2020-08-26')",G112,2020-08-26,0.0,0,sentiero-giro-del-golf-spiaggia,Lago Maggiore,5481,10440.091,7746.465,2,"('Lago Maggiore', 'sentiero-giro-del-golf-spiaggia')"
"('sentiero-giro-del-golf-spiaggia', '2020-11-27')",G112,2020-11-27,0.0,0,sentiero-giro-del-golf-spiaggia,Lago Maggiore,5481,10440.091,7746.465,2,"('Lago Maggiore', 'sentiero-giro-del-golf-spiaggia')"
"('strandboden-biel', '2020-10-10')",G112,2020-10-10,0.03,1,strandboden-biel,Bielersee,55159,54602.765,48855.512,6,"('Bielersee', 'strandboden-biel')"
"('strandboden-biel', '2020-12-25')",G112,2020-12-25,0.1,6,strandboden-biel,Bielersee,55159,54602.765,48855.512,6,"('Bielersee', 'strandboden-biel')"
"('sundbach-strand', '2020-08-26')",G112,2020-08-26,0.05,1,sundbach-strand,Thunersee,1195,16973.981,5773.863,12,"('Thunersee', 'sundbach-strand')"
"('sundbach-strand', '2020-11-07')",G112,2020-11-07,0.0,0,sundbach-strand,Thunersee,1195,16973.981,5773.863,12,"('Thunersee', 'sundbach-strand')"
"('thun-strandbad', '2020-11-28')",G112,2020-11-28,0.0,0,thun-strandbad,Thunersee,43734,37772.156,28977.336,10,"('Thunersee', 'thun-strandbad')"
"('thunersee_spiez_meierd_1', '2020-04-09')",G112,2020-04-09,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-05-08')",G112,2020-05-08,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-06-08')",G112,2020-06-08,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-07-08')",G112,2020-07-08,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-08-10')",G112,2020-08-10,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-09-07')",G112,2020-09-07,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-10-09')",G112,2020-10-09,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-11-06')",G112,2020-11-06,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2020-12-08')",G112,2020-12-08,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('thunersee_spiez_meierd_1', '2021-01-08')",G112,2021-01-08,0.0,0,thunersee_spiez_meierd_1,Thunersee,12812,16472.523999999998,9602.495,5,"('Thunersee', 'thunersee_spiez_meierd_1')"
"('tiger-duck-beach', '2020-07-14')",G112,2020-07-14,0.68,19,tiger-duck-beach,Lac Léman,4668,45470.197,25919.499,2,"('Lac Léman', 'tiger-duck-beach')"
"('tiger-duck-beach', '2020-10-01')",G112,2020-10-01,1.2,36,tiger-duck-beach,Lac Léman,4668,45470.197,25919.499,2,"('Lac Léman', 'tiger-duck-beach')"
"('tiger-duck-beach', '2020-11-24')",G112,2020-11-24,1.05,21,tiger-duck-beach,Lac Léman,4668,45470.197,25919.499,2,"('Lac Léman', 'tiger-duck-beach')"
"('tolochenaz', '2020-05-19')",G112,2020-05-19,0.0,0,tolochenaz,Lac Léman,1933,32217.033,53951.599,4,"('Lac Léman', 'tolochenaz')"
"('versoix', '2020-05-14')",G112,2020-05-14,0.04,2,versoix,Lac Léman,13432,31104.749,33440.663,9,"('Lac Léman', 'versoix')"
"('versoix', '2020-08-04')",G112,2020-08-04,0.01,1,versoix,Lac Léman,13432,31104.749,33440.663,9,"('Lac Léman', 'versoix')"
"('versoix', '2020-10-13')",G112,2020-10-13,0.02,1,versoix,Lac Léman,13432,31104.749,33440.663,9,"('Lac Léman', 'versoix')"
"('vidy-ruines', '2020-06-02')",G112,2020-06-02,0.53,10,vidy-ruines,Lac Léman,139111,52683.356,33907.382000000005,4,"('Lac Léman', 'vidy-ruines')"
"('vidy-ruines', '2020-06-30')",G112,2020-06-30,10.33,62,vidy-ruines,Lac Léman,139111,52683.356,33907.382000000005,4,"('Lac Léman', 'vidy-ruines')"
"('vidy-ruines', '2020-08-01')",G112,2020-08-01,0.2,1,vidy-ruines,Lac Léman,139111,52683.356,33907.382000000005,4,"('Lac Léman', 'vidy-ruines')"
"('vidy-ruines', '2020-09-02')",G112,2020-09-02,1.0,5,vidy-ruines,Lac Léman,139111,52683.356,33907.382000000005,4,"('Lac Léman', 'vidy-ruines')"
"('vidy-ruines', '2020-12-01')",G112,2020-12-01,1.67,10,vidy-ruines,Lac Léman,139111,52683.356,33907.382000000005,4,"('Lac Léman', 'vidy-ruines')"
"('villa-barton', '2020-10-20')",G112,2020-10-20,0.18,3,villa-barton,Lac Léman,201818,39487.651,65075.045,0,"('Lac Léman', 'villa-barton')"
"('vira-gambarogno', '2020-05-26')",G112,2020-05-26,0.0,0,vira-gambarogno,Lago Maggiore,5192,21127.242000000002,33466.982,34,"('Lago Maggiore', 'vira-gambarogno')"
"('vira-gambarogno', '2020-08-27')",G112,2020-08-27,0.0,0,vira-gambarogno,Lago Maggiore,5192,21127.242000000002,33466.982,34,"('Lago Maggiore', 'vira-gambarogno')"
